age,sex,seatbelt_use,drunk_driving,text_driving,drink_age,drink_freq,drink_binge
16,1,1,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,2,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,3,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,4,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
16,1,5,1,1,1,1,1
